ID;age;sex;breed;date_found;adoptable_from;posted;color;coat;size;neutered;housebroken;likes_people;likes_children;get_along_males;get_along_females;get_along_cats;keep_in
0;0.25;female;Unknown Mix;2019-12-10;2019-12-11;2019-12-11;red;short;small;no;;;;;;;
1;0.17;female;Unknown Mix;2019-12-01;2019-12-01;2019-12-09;black and white;short;small;no;;yes;yes;yes;yes;yes;
2;4.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;saddle back;short;medium;no;;;;;;;
3;1.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;yellow-brown;medium;medium;no;;;;;;;
4;2.0;female;French Bulldog Mix;2019-12-10;2019-12-11;2019-12-11;black;short;small;no;;;;;;;
5;4.25;male;Unknown Mix;2019-12-09;2019-12-24;2019-12-09;yellow-brown;short;small;yes;;;;;;;
6;0.17;male;Unknown Mix;2019-12-01;2019-12-01;2019-12-09;brown;short;small;no;;yes;yes;yes;yes;yes;
7;0.17;female;Unknown Mix;2019-12-10;2019-12-25;2019-12-11;gray and white;short;medium;no;;;;;;;
8;0.17;female;Unknown Mix;2019-12-11;2019-12-26;2019-12-12;black;medium;medium;no;;;;;;;
9;0.17;female;Unknown Mix;2019-12-10;2019-12-10;2019-12-11;brown and white;short;small;no;;yes;yes;yes;yes;yes;flat
10;3.67;male;Vizsla Mix;2019-10-25;2019-10-25;2019-12-12;red;short;medium;yes;;;;;;;
11;1.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;saddle back;medium;medium;no;;;;;;;
12;5.0;female;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;brown;long;small;no;;;;;;;
13;0.17;male;Unknown Mix;2019-12-10;2019-12-10;2019-12-11;tricolor;short;small;no;;yes;yes;yes;yes;yes;flat
14;8.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;black;medium;medium;no;;;;;;;
15;0.17;female;Unknown Mix;2019-12-10;2019-12-10;2019-12-11;tricolor;short;small;no;;yes;yes;yes;yes;yes;flat
16;0.83;male;Unknown Mix;2019-12-05;2019-12-05;2019-12-09;black;wirehaired;small;yes;;yes;yes;yes;yes;;both flat and garden
17;1.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;yellow-brown;medium;medium;no;;;;;;;
18;0.5;male;Unknown Mix;2019-12-08;2019-12-10;2019-12-10;spotty;medium;small;yes;;;;;;;
19;7.58;female;Kuvasz;2019-12-01;2019-12-16;2019-12-08;white;medium;large;yes;;;;;;;
20;1.0;male;Unknown Mix;2019-11-25;2019-11-25;2019-12-07;black;medium;medium;;;yes;;;;yes;both flat and garden
21;0.17;female;Unknown Mix;2019-11-27;2019-11-27;2019-12-07;apricot;short;small;;;yes;;yes;yes;;both flat and garden
22;0.67;female;Unknown Mix;2019-12-07;2019-12-22;2019-12-07;yellow-brown;wirehaired;medium;no;;;;;;;
23;0.58;female;Unknown Mix;2019-12-03;2019-12-03;2019-12-07;black;short;small;;;yes;;;;;both flat and garden
24;5.0;female;Chinese Shar-Pei Mix;2019-11-28;2019-11-28;2019-12-07;black and brown;short;medium;;;yes;;;;;both flat and garden
25;0.15;female;Staffordshire Terrier Mix;2019-12-01;2019-12-01;2019-12-07;brown and white;short;medium;;;yes;;yes;yes;;both flat and garden
26;0.42;female;German Shepherd Dog Mix;2019-12-01;2019-12-01;2019-12-07;black and brown;short;medium;;;yes;;;;;both flat and garden
27;6.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;saddle back;medium;medium;no;;;;;;;
28;2.42;male;Hungarian Vizsla;2019-12-07;2019-12-07;2019-12-07;brown;short;medium;no;;yes;yes;yes;yes;yes;both flat and garden
29;1.0;male;Komondor, Puli Mix;2019-11-27;2019-11-27;2019-12-07;golden;medium;medium;;;yes;;;;;both flat and garden
30;0.58;male;Bull Terrier, Staffordshire Terrier Mix;2019-12-06;2019-12-21;2019-12-07;striped;short;medium;no;;;;;;;
31;0.33;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;black;short;small;no;;;;;;;
32;1.0;male;Unknown Mix;2019-11-22;2019-11-22;2019-12-07;brown;medium;large;;;yes;;;;;both flat and garden
33;0.15;female;Staffordshire Terrier Mix;2019-12-01;2019-12-01;2019-12-07;striped;short;medium;;;yes;;yes;yes;;both flat and garden
34;1.0;male;Fox Terrier Mix;2019-12-07;2019-12-07;2019-12-07;black and white;wirehaired;small;yes;;yes;yes;yes;yes;;both flat and garden
35;2.0;male;Unknown Mix;2019-12-05;2019-12-05;2019-12-07;yellow;short;medium;no;;yes;yes;yes;yes;;both flat and garden
36;0.67;male;Unknown Mix;2019-12-03;2019-12-03;2019-12-07;apricot;short;small;;;yes;;;;;both flat and garden
37;1.0;male;Fox Terrier Mix;2019-12-07;2019-12-07;2019-12-07;brown and white;wirehaired;small;yes;;yes;yes;yes;yes;;both flat and garden
38;4.0;male;Unknown Mix;2019-12-08;2019-12-23;2019-12-08;yellow-brown;medium;medium;no;;;;;;;
39;8.0;male;Unknown Mix;2019-12-02;2019-12-17;2019-12-02;wild boar;short;small;no;;;;;;;
40;9.25;female;Afghan Hound;2019-12-01;2019-12-04;2019-12-03;brown;long;medium;yes;yes;yes;;;;;flat
41;0.5;male;Unknown Mix;2019-11-04;2019-11-04;2019-11-29;brown;wirehaired;medium;yes;;;;;;;
42;1.42;male;Unknown Mix;2019-12-03;2019-12-03;2019-12-05;brown and white;short;medium;no;;yes;yes;no;yes;;both flat and garden
43;0.25;male;Unknown Mix;2019-12-02;2019-12-17;2019-12-02;black and tan;wirehaired;small;no;;;;;;;
44;0.5;male;Unknown Mix;2019-11-04;2019-11-04;2019-11-29;tricolor;medium;medium;yes;;;;;;;
45;6.5;male;Unknown Mix;2019-10-07;2019-10-07;2019-12-05;black;short;medium;yes;;;;;;;
46;0.25;female;Unknown Mix;2019-12-04;2019-12-19;2019-12-04;saddle back;medium;medium;no;;;;;;;
47;8.42;female;American Bulldog;2019-12-01;2019-12-04;2019-12-03;striped;short;medium;yes;yes;yes;;;;;both flat and garden
48;3.5;female;Unknown Mix;2019-10-07;2019-10-07;2019-12-05;brown;short;medium;yes;;;;;;;
49;0.17;male;Beagle Mix;2019-11-01;2019-11-01;2019-11-30;black and brown;short;medium;no;;yes;yes;yes;yes;;
50;0.5;female;Unknown Mix;2019-11-04;2019-11-04;2019-11-29;brown;short;medium;yes;;;;;;;
51;0.17;female;Beagle Mix;2019-11-01;2019-11-01;2019-11-30;brown and white;short;medium;no;;yes;yes;yes;yes;;
52;1.58;male;Unknown Mix;2019-12-01;2019-12-16;2019-12-01;yellow-brown;wirehaired;small;no;;;;;;;
53;1.42;male;Hungarian Vizsla, Staffordshire Terrier Mix;2019-12-05;2019-12-05;2019-12-05;brown;short;medium;no;;yes;yes;yes;yes;;both flat and garden
54;1.42;male;Terrier Mix;2019-12-01;2019-12-01;2019-12-01;yellow-brown;medium;small;no;;yes;yes;yes;yes;yes;both flat and garden
55;0.17;male;Unknown Mix;2019-12-05;2019-12-06;2019-12-05;black and brown;short;small;no;;;;;;;
56;2.33;female;Unknown Mix;2019-10-07;2019-10-07;2019-12-05;brown;short;medium;yes;;;;;;;
57;9.17;male;Hungarian Greyhound;2019-12-01;2019-12-04;2019-12-03;brown and white;short;large;yes;yes;yes;;;;;flat
58;1.58;male;Unknown Mix;2019-12-01;2019-12-16;2019-12-01;yellow-brown;wirehaired;small;no;;;;;;;
59;0.5;female;Greyhound Mix;2019-11-27;2019-11-30;2019-11-27;yellow;short;medium;;;;;;;;flat
60;0.42;female;Unknown Mix;2019-11-28;2019-11-28;2019-11-28;black and brown;short;small;;;yes;;yes;yes;;both flat and garden
61;1.0;male;Staffordshire Terrier Mix;2019-11-28;2019-11-28;2019-11-28;brown;short;medium;no;;yes;yes;yes;yes;;both flat and garden
62;0.25;male;German Shepherd Dog, Staffordshire Terrier Mix;2019-11-24;2019-11-24;2019-11-25;yellow-brown;short;medium;no;;yes;yes;yes;yes;yes;both flat and garden
63;0.17;male;Unknown Mix;2019-11-27;2019-12-12;2019-11-27;yellow-brown;short;small;no;;;;;;;
64;6.0;male;Unknown Mix;2019-11-26;2019-12-11;2019-11-26;yellow-brown;short;medium;no;;;;;;;
65;0.58;female;Unknown Mix;2019-11-15;2019-11-15;2019-11-28;apricot;short;medium;;;yes;;yes;yes;yes;both flat and garden
66;2.0;female;English Greyhound, Spanish Greyhound Mix;2019-11-17;2019-11-18;2019-11-25;yellow;short;medium;yes;yes;yes;;;;;flat
67;2.0;male;Greyhound Mix;2019-11-17;2019-11-18;2019-11-25;black and white;short;medium;yes;;;;;;;both flat and garden
68;0.33;female;Unknown Mix;2019-11-25;2019-11-25;2019-11-28;black;short;medium;;;yes;;yes;yes;;both flat and garden
69;2.92;male;Dachshund Mix;2019-09-20;2019-09-20;2019-11-25;wild boar;short;medium;yes;;yes;yes;yes;yes;;flat
70;1.0;male;Greyhound Mix;2019-11-17;2019-11-18;2019-11-25;yellow;short;medium;;;yes;;;;;flat
71;0.5;male;Greyhound Mix;2019-11-26;2019-11-30;2019-11-27;striped;short;medium;;;;;;;;flat
72;2.0;male;Unknown Mix;2019-11-27;2019-12-08;2019-11-28;black;long;medium;no;;;;;;;
73;2.0;female;Greyhound Mix;2019-11-17;2019-11-17;2019-11-25;spotty;short;medium;yes;;;;;;;
74;4.0;male;Unknown Mix;2019-11-27;2019-12-08;2019-11-28;black;medium;medium;no;;;;;;;
75;1.0;male;Terrier Mix;2019-11-26;2019-11-26;2019-11-27;black and white;short;small;no;;yes;yes;yes;yes;;both flat and garden
76;4.0;male;Fox Terrier Mix;2019-11-26;2019-11-26;2019-11-28;black and white;short;small;no;;yes;yes;no;yes;;both flat and garden
77;1.42;female;Unknown Mix;2019-11-26;2019-11-26;2019-11-27;black and brown;medium;small;no;;yes;yes;yes;yes;;both flat and garden
78;0.5;female;Unknown Mix;2019-11-04;2019-11-04;2019-11-29;black and tan;wirehaired;small;yes;;;;;;;
79;1.25;male;Unknown Mix;2019-11-09;2019-11-09;2019-11-17;black;short;medium;;;yes;;yes;yes;;both flat and garden
80;1.25;male;Unknown Mix;2019-11-09;2019-11-09;2019-11-17;black;short;medium;;;yes;;yes;yes;;both flat and garden
